"","Univ_1","Univ_2","Weight"
"1","Aalto University","Columbia University",0
"2","Aalto University","Columbia University",0
"3","Aarhus University","University of Iowa",0
"4","Acadia University","University of Pennsylvania",0
"5","Acadia University","University of Texas Austin",0
"6","Auburn University","Georgia Southern University",0
"7","Auburn University","Virginia Polytechnic Institute & State University",0
"8","Australian National University","University of Florida",0
"9","Australian National University","University of Western Australia",0
"10","Australian National University","University of Minnesota Twin Cities",0
"11","Boston University","Harvard University",0
"12","Boston University","University of London",0
"13","Boston University","University College London",0
"14","Bowling Green State University","Hungarian Alfred Renyi Institute of Mathematics",0
"15","Bowling Green State University","Hungarian Alfred Renyi Institute of Mathematics",0
"16","Carnegie Mellon University","University of California Berkeley",0
"17","Carnegie Mellon University","University of Minnesota Twin Cities",0
"18","Carnegie Mellon University","Columbia University",0
"19","Carnegie Mellon University","University of Toronto",0
"20","Carnegie Mellon University","University of Sheffield",0
"21","Chinese University of Hong Kong","University of California Los Angeles",0
"22","Chinese University of Hong Kong","University of Wisconsin Madison",0
"23","Chinese University of Hong Kong","University of California Los Angeles",0
"24","Colorado State University","University of Washington",0
"25","Colorado State University","University of Washington Seattle",0
"26","Colorado State University","University of California Davis",0
"27","Colorado State University","University of California Davis",0
"28","Columbia University","York University - Canada",0
"29","Columbia University","University of Chicago",0
"30","Columbia University","Harvard University",0
"31","Columbia University","University of Chicago",0
"32","Columbia University","Iowa State University",0
"33","Columbia University","Sapienza University Rome",0
"34","Columbia University","Aalto University",0
"35","Columbia University","Indiana University Bloomington",0
"36","Columbia University","University of California Berkeley",0
"37","Columbia University","University of Minnesota Twin Cities",0
"38","Columbia University","Harvard University",0
"39","Columbia University","Sapienza University Rome",0
"40","Columbia University","University of California Berkeley",0
"41","Columbia University","National Institutes of Health (NIH) - USA",0
"42","Columbia University","University of Minnesota Twin Cities",0
"43","Columbia University","University of Cambridge",0
"44","Columbia University","NIH National Heart Lung & Blood Institute (NHLBI)",0
"45","Columbia University","Harvard University",0
"46","Columbia University","SUNY Community College",0
"47","Columbia University","University of Toronto",0
"48","Cornell University","Harvard University",0
"49","Cornell University","Harvard University",0
"50","Dana-Farber Cancer Institute","Harvard University",0
"51","Dana-Farber Cancer Institute","Harvard University",0
"52","Dana-Farber Cancer Institute","Boston University",0
"53","Dana-Farber Cancer Institute","Boston University",0
"54","Dana-Farber Cancer Institute","Harvard University",0
"55","Dana-Farber Cancer Institute","Worcester Polytechnic Institute",0
"56","Dortmund University of Technology","Columbia University",0
"57","Drexel University","Johns Hopkins University",0
"58","Drexel University","Johns Hopkins University",0
"59","Duke University","Harvard University",0
"60","Duke University","University of Miami",0
"61","Erasmus University Rotterdam","University of Virginia",0
"62","Flinders University South Australia","Colorado State University",0
"63","Georgia Institute of Technology","University of Wisconsin Madison",0
"64","Georgia Institute of Technology","University of Wisconsin Madison",0
"65","Georgia Southern University","Virginia Polytechnic Institute & State University",0
"66","Harvard University","Massachusetts Institute of Technology (MIT)",0
"67","Harvard University","Massachusetts Institute of Technology (MIT)",0
"68","Harvard University","Boston University",0
"69","Harvard University","Dana-Farber Cancer Institute",0
"70","Harvard University","Dana-Farber Cancer Institute",0
"71","Harvard University","Massachusetts Institute of Technology (MIT)",0
"72","Harvard University","Massachusetts Institute of Technology (MIT)",0
"73","Harvard University","University of Chicago",0
"74","Harvard University","University of Chicago",0
"75","Harvard University","Princeton University",0
"76","Harvard University","University of California Berkeley",0
"77","Harvard University","University of Illinois Urbana-Champaign",0
"78","Harvard University","University of Milan",0
"79","Harvard University","Texas A&M University College Station",0
"80","Harvard University","Princeton University",0
"81","Harvard University","Temple University",0
"82","Harvard University","University of Chicago",0
"83","Harvard University","University of Michigan",0
"84","Harvard University","University of Trieste",0
"85","Harvard University","Boston University",0
"86","Harvard University","Dana-Farber Cancer Institute",0
"87","Harvard University","Dana-Farber Cancer Institute",0
"88","Harvard University","University of California Berkeley",0
"89","Harvard University","Boston University",0
"90","Harvard University","University of California Berkeley",0
"91","Harvard University","Worcester Polytechnic Institute",0
"92","Harvard University","Aalto University",0
"93","Harvard University","University of Milan",0
"94","Harvard University","Johns Hopkins University",0
"95","Harvard University","University of Trieste",0
"96","Harvard University","Boston University",0
"97","Harvard University","University of Trieste",0
"98","Harvard University","Johns Hopkins University",0
"99","Harvard University","Dana-Farber Cancer Institute",0
"100","Harvard University","Boston University",0
"101","Harvard University","Dana-Farber Cancer Institute",0
"102","Harvard University","Dana-Farber Cancer Institute",0
"103","Harvard University","Boston University",0
"104","Harvard University","Schering-Plough Research Institute",0
"105","Harvard University","Worcester Polytechnic Institute",0
"106","Harvard University","University of Miami",0
"107","Hebrew University of Jerusalem","University of Rochester",0
"108","Hebrew University of Jerusalem","UDICE-French Research Universities",0
"109","Hopital Universitaire Pitie-Salpetriere - APHP","Institut National de la Sante et de la Recherche Medicale (Inserm)",0
"110","Hopital Universitaire Pitie-Salpetriere - APHP","UDICE-French Research Universities",0
"111","Hopital Universitaire Pitie-Salpetriere - APHP","Sorbonne Universite",0
"112","Imperial College London","University of London",0
"113","Imperial College London","University of Oxford",0
"114","Imperial College London","University of Cambridge",0
"115","Imperial College London","University of Minnesota Twin Cities",0
"116","Indian Institute of Management Ahmedabad","Harvard University",0
"117","Indian Institute of Management Ahmedabad","Dana-Farber Cancer Institute",0
"118","Indian Statistical Institute Kolkata","Northern Arizona University",0
"119","Indian Statistical Institute Kolkata","University of Oslo",0
"120","Indian Statistical Institute Kolkata","University of North Carolina Chapel Hill",0
"121","Indian Statistical Institute Kolkata","Open University - UK",0
"122","Institut National de la Sante et de la Recherche Medicale (Inserm)","UDICE-French Research Universities",0
"123","Institut National de la Sante et de la Recherche Medicale (Inserm)","Universite de Bordeaux",0
"124","Institut National de la Sante et de la Recherche Medicale (Inserm)","UDICE-French Research Universities",0
"125","Institut National de la Sante et de la Recherche Medicale (Inserm)","Sorbonne Universite",0
"126","Johns Hopkins University","Harvard University",0
